activity_rank,design_id,scaffold,plate_number,well_position,source_well,reader_well,rate_abs_per_min,rate_corrected_abs_per_min,robust_z,fold_over_background,fit_r2,fit_residual_sd,fit_n_points,initial_abs,final_abs,max_abs,qc_pass,flag_optical_artifact,flag_above_linear_range,fit_segmented,is_hit,parent
29,ZAPP_i3_AR_pte_0148,6,2,E4,P2E4,G7,0.002746867111254797,0.002373433535529025,10.826148346074334,7.355704708437727,0.9991648779531154,0.00032188820293930413,19,0.169,0.341,0.341,True,False,False,False,True,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_10__3_1_FS125_chisel_272
30,ZAPP_i3_AR_pte_0138,5,2,D6,P2D6,F12,0.002538847068341507,0.002165413492615735,9.87728847288894,6.798657735601926,0.998529699902822,0.0003948844723829865,19,0.167,0.327,0.327,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_02_C2_i_24_model_0__FS209_chisel_355
31,ZAPP_i3_AR_pte_0152,6,2,E8,P2E8,G15,0.002215538802295937,0.001842105226570165,8.40255442311441,5.932885916832773,0.9985637255546426,0.0003405816149992828,19,0.159,0.307,0.307,True,False,False,False,True,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_10__3_1_FS125_chisel_272_chiseli2_217
32,ZAPP_i3_AR_pte_0001,1,1,A1,P1A1,A1,0.002125313237463558,0.0017518796617377861,7.991000724701717,5.691275170779678,0.9982564252006288,0.0003600254466518249,19,0.159,0.297,0.297,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_3_model_aligned_chiseli2_078
33,ZAPP_i3_AR_pte_0078,1,1,G6,P1G6,D11,0.002047619004630348,0.0016741854289045758,7.636607278373636,5.483221482296496,0.998726694907748,0.00029634873422393565,19,0.161,0.296,0.296,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__8_1_FS232_chisel_009_c02_r1_af3i2_idx_4_model_aligned_chiseli2_087
34,ZAPP_i3_AR_pte_0113,3,2,B5,P2B5,E10,0.0018596490816273532,0.0014862155059015814,6.77920375703298,4.979865771343957,0.9980494491628225,0.00033323040678523555,19,0.161,0.284,0.284,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_3_model_aligned_chiseli2_390
35,ZAPP_i3_AR_pte_0008,1,1,A8,P1A8,A15,0.001839598961445699,0.001466165385719927,6.687747403950471,4.926174508734036,0.9984728880274548,0.00029160936983653734,19,0.163,0.276,0.276,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_103_af3i2_idx_2_model_aligned_chiseli2_184
36,ZAPP_i3_AR_pte_0067,1,1,F7,P1F7,C14,0.001774436057626753,0.001401002481900981,6.390514196091698,4.7516778698276365,0.9980169674770597,0.00032060281117889594,19,0.156,0.281,0.281,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__8_1_FS232_chisel_009_c00_r2_af3i2_idx_4_model_aligned_chiseli2_226
37,ZAPP_i3_AR_pte_0153,6,2,E9,P2E9,G17,0.0017443608660930288,0.0013709272903672568,6.253329615101051,4.671140945756808,0.9944081777901872,0.0005302023944498087,19,0.161,0.272,0.272,True,False,False,False,True,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_10__3_1_FS125_chisel_164
38,ZAPP_i3_AR_pte_0015,1,1,B3,P1B3,A6,0.0016992480835411618,0.0013258145078153898,6.047552765275827,4.550335572366936,0.9974482465685106,0.0003483709821748746,19,0.165,0.288,0.288,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_202_af3i2_idx_1_model_aligned_chiseli2_437
39,ZAPP_i3_AR_pte_0110,3,2,B2,P2B2,E4,0.0016365914430828726,0.0012631578673571006,5.761751593971114,4.382550336836051,0.9973079775538488,0.00034464817571454315,19,0.157,0.267,0.267,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_058
40,ZAPP_i3_AR_pte_0027,1,1,C3,P1C3,B5,0.0016140350554702317,0.00124060147974446,5.6588631857681975,4.322147659950872,0.9981612524439542,0.0002807919673907954,19,0.16,0.267,0.267,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_2_model_aligned_chiseli2_025
41,ZAPP_i3_AR_pte_0029,1,1,C5,P1C5,B9,0.0015413533499010462,0.0011679197741752741,5.327333815023753,4.127516779672022,0.9982185246798602,0.0002639309489239469,19,0.16,0.259,0.259,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_202_af3i2_idx_0_model_aligned_chiseli2_360
42,ZAPP_i3_AR_pte_0117,3,2,B9,P2B9,E18,0.0015012531013970818,0.0011278195256713098,5.144421071726057,4.020134232652705,0.98957747159188,0.0006244915661756991,19,0.176,0.268,0.268,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_4_model_aligned_chiseli2_076
44,ZAPP_i3_AR_pte_0115,3,2,B7,P2B7,E14,0.0014812029771451003,0.0011077694014193285,5.052964700077212,3.9664429591430483,0.995272696077972,0.00041377220097904793,19,0.167,0.275,0.275,True,False,False,False,True,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_476_af3i2_idx_0_model_aligned_chiseli2_381
