reader_well,plate_number,well_position,design_id,design_index,scaffold,parent,source_well,ori_family,rate_abs_per_min,fit_intercept_abs,fit_r2,fit_residual_sd,fit_n_points,fit_first_min,fit_last_min,fit_segmented,initial_abs,final_abs,max_abs,max_abs_in_window,n_drop_artifacts,first_drop_min,largest_drop_abs,flag_optical_artifact,flag_above_linear_range,flag_saturated_in_window,qc_pass,rate_corrected_abs_per_min,robust_z,fold_over_background,is_hit,activity_rank
A2,1,B1,ZAPP_i3_AR_pte_0013,13,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_4_model_aligned_chiseli2_288,P1B1,ORI_05_C9_i_14_model_2,0.0005739348257078707,0.15828421081044095,0.9809390210337411,0.00032428375239552156,19,2.09999952,14.69999952,False,0.158,0.193,0.193,0.167,0,,0.0,False,False,False,True,0.00020050124998209878,0.9145637505268114,1.5369127550794612,False,85
H16,2,H8,ZAPP_i3_AR_pte_0188,188,10,ZAPP_p1D1_rotP_0_ORI_01_C9_i_11_model_7__eV2_T0_10__8_1_FS118_chisel_184_af3i2_idx_0_model_aligned_chiseli2_340,P2H8,ORI_01_C9_i_11_model_7,0.0005739348246224463,0.15638947397745329,0.9469302973295766,0.0005507289600140418,19,2.09999952,14.69999952,False,0.156,0.187,0.187,0.165,0,,-0.0020000000000000018,False,False,False,True,0.00020050124889667439,0.9145637455757709,1.5369127521728547,False,86
F10,2,D5,ZAPP_i3_AR_pte_0137,137,5,ZAPP_p1D1_rotP_1_ORI_02_C2_i_24_model_0__eV2_T0_10__14_1_FS209_chisel_137_af3i2_idx_1_model_aligned_chiseli2_396,P2D5,ORI_02_C2_i_24_model_0,0.000573934821637538,0.16917894768673702,0.9787420552565189,0.00034284680216981994,19,2.09999952,14.69999952,False,0.17,0.202,0.202,0.178,0,,0.0,False,False,False,True,0.00020050124591176606,0.9145637319604496,1.5369127441797108,False,87
G14,2,F7,ZAPP_i3_AR_pte_0163,163,6,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_10__12_1_FS125_chisel_010,P2F7,ORI_02_C6_i_9_model_1,0.0005714285574628207,0.1526210529365605,0.9845454466908985,0.00029019057378662174,19,2.09999952,14.69999952,False,0.152,0.185,0.185,0.161,0,,-0.0010000000000000009,False,False,False,True,0.0001979949817370488,0.9031316916931443,1.5302013386242614,False,88
G12,2,F6,ZAPP_i3_AR_pte_0162,162,6,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_30__10_1_FS125_chisel_173_chiseli2_090,P2F6,ORI_02_C6_i_9_model_1,0.0005714285555633328,0.156305263478832,0.9520878981626271,0.0005195855258878297,19,2.09999952,14.69999952,False,0.155,0.199,0.199,0.165,0,,-0.0010000000000000009,False,False,False,True,0.00019799497983756086,0.9031316830288451,1.5302013335377131,False,89
G8,2,F4,ZAPP_i3_AR_pte_0160,160,6,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_20__15_1_FS125_chisel_193,P2F4,ORI_02_C6_i_9_model_1,0.0005538846984709803,0.15666315818843543,0.972540813433957,0.0003772422266382659,19,2.09999952,14.69999952,False,0.156,0.192,0.192,0.165,0,,-0.0010000000000000009,False,False,False,True,0.0001804511227452084,0.8231073652626426,1.4832214735766591,False,90
D15,1,G8,ZAPP_i3_AR_pte_0080,80,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_308_af3i2_idx_0_model_aligned_chiseli2_474,P1G8,ORI_05_C9_i_14_model_2,0.000551378435110325,0.15352631606299974,0.9813463107793708,0.00030812860227154455,19,2.09999952,14.69999952,False,0.154,0.188,0.188,0.162,0,,0.0,False,False,False,True,0.00017794485938455308,0.8116753287085887,1.4765100702011473,False,91
D10,1,H5,ZAPP_i3_AR_pte_0089,89,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__10_1_FS232_chisel_056,P1H5,ORI_05_C9_i_14_model_2,0.0005388471069101269,0.16294736868945003,0.9801738766598328,0.0003106303682319789,19,2.09999952,14.69999952,False,0.162,0.195,0.195,0.171,0,,0.0,False,False,False,True,0.00016541353118435496,0.7545150939525519,1.4429530228043157,False,92
F17,2,C9,ZAPP_i3_AR_pte_0129,129,3,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_476,P2C9,ORI_11_C9_i_12_model_3,0.0005363408416499788,0.15849473710628587,0.9798031682372965,0.00031212179038295906,19,2.09999952,14.69999952,False,0.158,0.192,0.192,0.166,0,,0.0,False,False,False,True,0.00016290726592420692,0.743083048734177,1.4362416143422427,False,93
H15,2,G8,ZAPP_i3_AR_pte_0176,176,8,ZAPP_p1D1_rotP_0_ORI_01_C11_i_38_model_5__eV2_T0_10__2_1_FS021_chisel_257_af3i2_idx_2_model_aligned_chiseli2_138,P2G8,ORI_01_C11_i_38_model_5,0.0005338345736762842,0.1563052634406523,0.980739292731273,0.0003032334038979832,19,2.09999952,14.69999952,False,0.156,0.185,0.185,0.164,0,,0.0,False,False,False,True,0.00016040099795051226,0.7316509911382664,1.4295301986136928,False,94
H14,2,H7,ZAPP_i3_AR_pte_0187,187,10,ZAPP_p1D1_rotP_0_ORI_01_C9_i_11_model_7__eV2_T0_10__8_1_FS118_chisel_184_af3i2_idx_4_model_aligned_chiseli2_175,P2H7,ORI_01_C9_i_11_model_7,0.0005112781868777159,0.1531789476086681,0.8417475788912969,0.0008985712601445247,19,2.09999952,14.69999952,False,0.151,0.175,0.175,0.16,0,,-0.0010000000000000009,False,False,False,True,0.00013784461115194397,0.6287625866486489,1.3691275239084797,False,95
F1,2,C1,ZAPP_i3_AR_pte_0121,121,3,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_476_af3i2_idx_1_model_aligned_chiseli2_456,P2C1,ORI_11_C9_i_12_model_3,0.0005087719183613095,0.16204210552654066,0.9755918520019831,0.00032618762469671886,19,2.09999952,14.69999952,False,0.162,0.192,0.192,0.17,0,,-0.0010000000000000009,False,False,False,True,0.0001353383426355376,0.6173305265772204,1.3624161067266278,False,96
C8,1,F4,ZAPP_i3_AR_pte_0064,64,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_173_af3i2_idx_0_model_aligned_chiseli2_262,P1F4,ORI_05_C9_i_14_model_2,0.0005062656536438725,0.15153684235987033,0.9785131888190587,0.00030408298699007534,19,2.09999952,14.69999952,False,0.151,0.183,0.183,0.159,0,,0.0,False,False,False,True,0.00013283207791810062,0.6058984838343605,1.3557046997178552,False,97
D12,1,H6,ZAPP_i3_AR_pte_0090,90,2,ZAPP_p1D1_rotP_0_ORI_06_C1_i_5_model_5__eV2_T0_10__5_1_FS150_chisel_369_af3i2_idx_0_model_aligned_chiseli2_103,P1H6,ORI_06_C1_i_5_model_5,0.0005062656468600028,0.172694737153697,0.8843519479891832,0.0007420720384126607,19,2.09999952,14.69999952,False,0.172,0.182,0.182,0.18,1,20.299999680000003,-0.010999999999999982,True,False,False,False,0.00013283207113423093,0.605898452890507,1.3557046815516534,False,98
H2,2,H1,ZAPP_i3_AR_pte_0181,181,9,ZAPP_p1D1_rotP_0_ORI_04_C2_i_19_model_7__eV2_T0_10__12_1_FS138_chisel_316_chiseli2_429,P2H1,ORI_04_C2_i_19_model_7,0.0005012531081990522,0.40657894773996067,0.0612801386534626,0.007951997381965106,19,2.09999952,14.69999952,False,0.414,0.644,0.654,0.425,23,1.39999968,-0.052000000000000046,True,False,False,False,0.00012781953247328025,0.5830343253210829,1.3422818428280363,False,99
G6,2,F3,ZAPP_i3_AR_pte_0159,159,6,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__eV2_T0_20__15_1_FS125_chisel_227,P2F3,ORI_02_C6_i_9_model_1,0.0004937343213733485,0.1558526318626167,0.9726566243908621,0.000335544885455395,19,2.09999952,14.69999952,False,0.155,0.183,0.183,0.163,0,,0.0,False,False,False,True,0.00012030074564757661,0.548738230511993,1.3221476414212914,False,100
